Categoria,Indicatore,Territorio,Periodo,Valore,Unita,Fonte,Aggiornato
Appalti,Appalti lavori (importo),Cuneo,2024-03,225877866,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-04,161867419,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-05,94586159,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-06,20882449,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-07,28396067,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-08,62162949,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-09,37942670,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-10,21966248,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-11,17979985,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-12,46449861,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-01,33455502,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-02,17764091,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-03,32665028,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-04,30797457,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-05,38991545,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-06,149772524,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-07,186424686,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-08,36741452,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-09,32944818,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2025-10,49498231,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
