PeriodoCod,Periodo,Ordine,Gruppo,Indicatore,Unita,Territorio,Valore
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Novara,50.5
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Torino,45.0
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Verbania,49.3
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Vercelli,61.4
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Alessandria,6.1
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Aosta,5.6
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Asti,5.6
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Biella,7.0
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Cuneo,6.2
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Novara,7.5
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Torino,7.5
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Verbania,6.5
107,I sem 2007,4014,Costo del credito bancario,Costo effettivo credito a breve,%,Vercelli,7.3
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Alessandria,12.5
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Aosta,0.0
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Asti,0.0
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Biella,0.0
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Cuneo,21.6
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Novara,0.0
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Torino,5.8
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Verbania,0.0
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Generica,%,Vercelli,28.6
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Alessandria,50.0
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Aosta,18.2
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Asti,35.7
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Biella,36.4
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Cuneo,54.6
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Novara,31.2
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Torino,24.3
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Verbania,66.7
107,I sem 2007,4014,Difficolta reperimento manodopera (% risposte),Qualificata,%,Vercelli,57.1
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Alessandria,57.1
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Aosta,72.7
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Asti,53.3
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Biella,63.6
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Cuneo,54.1
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Novara,46.7
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Torino,51.5
107,I sem 2007,4014,Intenzioni di investimento (% risposte),No,%,Verbania,22.2
